text asli,text_prepro,compound scores,Sentimen
sekarang bareksa bisa isi reksa dana lewat aplikasi flip kan ada kalimat bisa transfer lewat aplikasi perantara,sekarang bareksa bisa isi reksa dana lewat aplikasi flip kan ada kalimat bisa transfer lewat aplikasi antara,6,Positif
disarankan waktu penarikannya hari bagaimana penarikan tersebut diperlukan pengobatan orang sakit sungguh membantu orang sakit cepat meninggal tidak kendala penarikan dana memakan waktu hari,saran waktu tari hari bagaimana tari sebut perlu obat orang sakit sungguh bantu orang sakit cepat tinggal tidak kendala tari dana makan waktu hari,-6,Negatif
aplikasinya bagus ringan bersih informatif bantuan diberikan customer service livechat cukup baik customer service email sangat lambat merespon urusan administrasi verifikasi data lain sangat panjang paling cepat hitungan jam paling lama hari,aplikasi bagus ringan bersih informatif bantu beri customer service livechat cukup baik customer service email sangat lambat merespon urus administrasi verifikasi data lain sangat panjang paling cepat hitung jam paling lama hari,5,Positif
informasi keuangan direkomendasikan sangat transparan mana membeli rdpt seharusnya mendapat dividen secara langsung tersembunyi saya menguji aplikasi berbeda tanggal sama sana di sini tidak bisa,informasi uang rekomendasi sangat transparan mana beli rdpt harus dapat dividen cara langsung sembunyi saya uji aplikasi beda tanggal sama sana di sini tidak bisa,-4,Negatif
terima kasih customer service bareksa cepat tanggap menangani masalah akun bareksa yang stuck nomor ovo lama tidak mendapatkan kode verifikasi good job to customer service bareksa walaupun lama berhasil responsif cepat,terima kasih customer service bareksa cepat tanggap tangan masalah akun bareksa yang stuck nomor ovo lama tidak dapat kode verifikasi good job to customer service bareksa walaupun lama hasil responsif cepat,2,Positif
selalu punya kebiasaan menggunakan website aplikasi membantu terutama fitur robo semoga kedepannya semakin banyak fitur bagus lainnya,selalu punya biasa guna website aplikasi bantu utama fitur robo moga depan makin banyak fitur bagus lain,9,Positif
suka bareksa produk reksa dananya lebih lengkap sistem pembayarannya jauh lebih bagus bbt disana beli reksa dana gratis bareksa bayar bareksa kerja sama danamn kalau beli reksadana tetap sama disuruh bayar k,suka bareksa produk reksa dana lebih lengkap sistem bayar jauh lebih bagus bbt sana beli reksa dana gratis bareksa bayar bareksa kerja sama danamn kalau beli reksadana tetap sama suruh bayar k,36,Positif
dibanding bibit respon csnya lama sekali opsi pembayaran va berbayar opsi transfer dikenakan biaya ribu per transaksi atas juta padahal dikenakan satu kali sehari seeds bea materai dibaca otomatis berlaku sekali sehari sunting menghubungi email asalkan belum solusi customer service email live chat hanya meminta menunggu ada kepastian kapan masalah teratasi,banding bibit respon csnya lama sekali opsi bayar va bayar opsi transfer kena biaya ribu per transaksi atas juta padahal kena satu kali hari seeds bea materai baca otomatis laku sekali hari sunting hubung email asal belum solusi customer service email live chat hanya minta tunggu ada pasti kapan masalah atas,-6,Negatif
fiturnya bagus cukup lengkap mulai sbn reksa dana saham untuk saham bisa menambahkan rdn run bca tidak ribet memerlukan dokumen tambahan,fiturnya bagus cukup lengkap mulai sbn reksa dana saham untuk saham bisa tambah rdn run bca tidak ribet perlu dokumen tambah,13,Positif
penanganan keluhan pelanggan memakan waktu terlalu lama sudah email live chat jawabannya responnya buruk tidak masuk aplikasi,tangan keluh langgan makan waktu terlalu lama sudah email live chat jawab responnya buruk tidak masuk aplikasi,-9,Negatif
saldo tiba tiba hilang drastis padahal harga emas sedang naik seram jangan download aplikasi dipercaya saldo bisa hilang mengeluhkannya tidak ada solusi saldo anda tidak kunjung datang,saldo tiba tiba hilang drastis padahal harga emas sedang naik seram jangan download aplikasi percaya saldo bisa hilang keluh tidak ada solusi saldo anda tidak kunjung datang,-4,Negatif
aplikasi sangat mudah digunakan lengkap fiturnya,aplikasi sangat mudah guna lengkap fiturnya,6,Positif
buka rekening saham tertunda terlalu ribet bibitnya terintegrasi stockbit jadi perlu foto ulang ektp kalau hasilnya buram bisa,buka rekening saham tunda terlalu ribet bibit integrasi stockbit jadi perlu foto ulang ektp kalau hasil buram bisa,-8,Negatif
kok baru update versi terbaru kok bisa login,kok baru update versi baru kok bisa login,0,Positif
verifikasi terakhir berisi informasi apa tentang kegagalan keberhasilan tidak memberi tahu data apa hilang,verifikasi akhir isi informasi apa tentang gagal hasil tidak beri tahu data apa hilang,-5,Negatif
konfirmasi pembayaran lama sekali sangat disarankan,konfirmasi bayar lama sekali sangat saran,3,Positif
bisa mengubah data profil gagal terus,bisa ubah data profil gagal terus,-7,Negatif
terima kasih bareksa membantu mengatur keuangan semoga bareksa semakin sukses terus untuk membantu sesama aamiin,terima kasih bareksa bantu atur uang moga bareksa makin sukses terus untuk bantu sama aamiin,25,Positif
handphone samsung minta izin akses memori eksternal padahal izin tersebut ada pengaturan izin nah kalau mau upload bukti transfer konfirmasi pembayaran bisa,handphone samsung minta izin akses memori eksternal padahal izin sebut ada atur izin nah kalau mau upload bukti transfer konfirmasi bayar bisa,0,Positif
upload bukti transaksi tertunda terus gagal pesanan memakan waktu terlalu lama masuk dalam portofolio,upload bukti transaksi tunda terus gagal pesan makan waktu terlalu lama masuk dalam portofolio,-6,Negatif
bareksa aplikasi bagus lengkap fiturnya sbn reksa dana emasdibandingkan aplikasi dan sekarang fitur investasi sahamsaya tambah bintang jadi,bareksa aplikasi bagus lengkap fiturnya sbn reksa dana emasdibandingkan aplikasi dan sekarang fitur investasi sahamsaya tambah bintang jadi,7,Positif
mengeluh peningkatan verifikasi data melalui email pesan saya diblokir,keluh tingkat verifikasi data lalu email pesan saya blokir,-5,Negatif
mohon ditambahkan data hakhak ahli waris pada aplikasi b b t mengantisipasi pemodal mengalami kendala misal ada transaksi jangka waktu tertentu meninggal dunia kecelakaan hilang ingatan lain sebagainya yang menabung lebih nyaman menabung bareksa,mohon tambah data hakhak ahli waris pada aplikasi b b t antisipasi modal alami kendala misal ada transaksi jangka waktu tentu tinggal dunia celaka hilang ingat lain bagai yang tabung lebih nyaman tabung bareksa,7,Positif
min harus ganti pin padahal logout aplikasi pinnya diatur sedemikian rupa mungkin kamu memilih mudah diingat malah disuruh ganti pin padahal inget banget pinnya apa ternyata pas dimasukkannya salah maksudnya apa min saja mencoba banyak anda harus menunggu jam min disana data min jangan rumit,min harus ganti pin padahal logout aplikasi pin atur demikian rupa mungkin kamu pilih mudah ingat malah suruh ganti pin padahal inget banget pin apa nyata pas masuk salah maksud apa min saja coba banyak anda harus tunggu jam min sana data min jangan rumit,-36,Negatif
makanya proses investasi terverifikasi hampir hari belum tindakan proses verifikasi pengajuan sbn hampir minggu terverifikasi mohon segera action bagaimana mau berinvestasi jangka waktunya sangat lama proses hari sistem kenyataannya diluar ekspektasi sudah ajukan email komplain belum ada tindakan,makanya proses investasi verifikasi hampir hari belum tindak proses verifikasi aju sbn hampir minggu verifikasi mohon segera action bagaimana mau investasi jangka waktu sangat lama proses hari sistem nyata luar ekspektasi sudah aju email komplain belum ada tindak,-16,Negatif
inilah sebabnya aplikasi ingin masuk meminta memasukkan pin tetap bisa masuk meski pin benar tetap bisa masuk meminta pin baru sudah menggantinya pin baru tetap bisa login bagaimana caranya padahal dipakai baru dibuka hari lalu sudah berfungsi untung belum transaksi,ini sebab aplikasi ingin masuk minta masuk pin tetap bisa masuk meski pin benar tetap bisa masuk minta pin baru sudah ganti pin baru tetap bisa login bagaimana cara padahal pakai baru buka hari lalu sudah fungsi untung belum transaksi,12,Positif
saran temanteman metode pembayaran ditingkatkan jika memungkinkan metode pembayaran khusus bareksa tidak biaya admin jadi lebih baik aplikasi,saran temanteman metode bayar tingkat jika mungkin metode bayar khusus bareksa tidak biaya admin jadi lebih baik aplikasi,-10,Negatif
aplikasinya keren sederhana mudah dipahami,aplikasi keren sederhana mudah paham,3,Positif
kalau mau daftar beli emas perbendaharaan foto ktp kalau difoto sering kali gambarnya separuh foto padahal ada tengah bingkai,kalau mau daftar beli emas bendahara foto ktp kalau foto sering kali gambar paruh foto padahal ada tengah bingkai,14,Positif
hatihati aplikasi kolom kota diklik verifikasi wajah bisa dilakukan melalui foto ktp pencurian data meminta alamat email password email bahaya nig penipuan,hatihati aplikasi kolom kota klik verifikasi wajah bisa laku lalu foto ktp curi data minta alamat email password email bahaya nig tipu,-10,Negatif
diberi harapan palsu bareksa sangat kecewa perbaiki sistem rewardnya tidak salah kirim email jalankan auto uninstall,beri harap palsu bareksa sangat kecewa baik sistem rewardnya tidak salah kirim email jalan auto uninstall,-20,Negatif
penampilan menarik mudah berinvestasi,tampil tarik mudah investasi,7,Positif
produk investasi bareksa sebenarnya bagus banget sayang biaya admin pembelian reksa dana lewat virtual account mahal banget lewat ewallet ada biaya admin,produk investasi bareksa benar bagus banget sayang biaya admin beli reksa dana lewat virtual account mahal banget lewat ewallet ada biaya admin,30,Positif
mengganti nomor handphone email memakan waktu lama ribet melalui email padahal aplikasi serupa diubah langsung aplikasi,ganti nomor handphone email makan waktu lama ribet lalu email padahal aplikasi rupa ubah langsung aplikasi,-10,Negatif
aplikasi jelek banget respon verifikasinya lama kalau diulang berubah status tidak diakses jadi pakai seed,aplikasi jelek banget respon verifikasi lama kalau ulang ubah status tidak akses jadi pakai seed,-20,Negatif
aplikasinya bagus mudah digunakan sayangnya metode pembayarannya terbatas saat saya lebih memilih menggunakan aplikasi tetap semangat tim bareksa,aplikasi bagus mudah guna sayang metode bayar batas saat saya lebih pilih guna aplikasi tetap semangat tim bareksa,-5,Negatif
perlu perbaikan upload bukti pembayaran tidak terbaca aplikasi luar android,perlu baik upload bukti bayar tidak baca aplikasi luar android,-3,Negatif
aplikasinya sangat mudah pemula membuat bareksa bingung silahkan dilanjutkan,aplikasi sangat mudah mula buat bareksa bingung silah lanjut,2,Positif
bareksa menginstall aplikasi investasi terbaik senang rasanya mendapatkan uang hal positif lainnya memungkinkan silakan tambahkan fitur penghapusan akun menu tidak fitur menghapus akun permanen baik aplikasi maupun website,bareksa menginstall aplikasi investasi baik senang rasa dapat uang hal positif lain mungkin sila tambah fitur hapus akun menu tidak fitur hapus akun permanen baik aplikasi maupun website,-2,Negatif
bagus sayang pencairannya memakan waktu hari harusnya lebih cepat mohon csnya ditingkatkan,bagus sayang cair makan waktu hari harus lebih cepat mohon csnya tingkat,4,Positif
tiba tiba tidak membuka aplikasinya katanya error,tiba tiba tidak buka aplikasi kata error,-18,Negatif
aplikasi memudahkan para pemula berinvestasi aplikasi sangat mudah dijalankan,aplikasi mudah para mula investasi aplikasi sangat mudah jalan,2,Positif
opsi data pribadi perlu diatur ditampilkan kali scroll bawah selalu menekan item perlu akhirnya agama status perkawinan sumber pendapatan tujuan investasi cenderung berubah tidak sengaja pas mau ganti tidak bisa server error,opsi data pribadi perlu atur tampil kali scroll bawah selalu tekan item perlu akhir agama status kawin sumber dapat tuju investasi cenderung ubah tidak sengaja pas mau ganti tidak bisa server error,-6,Negatif
aplikasinya ringan aman informasi dalamnya cukup lengkap sayangnya saya uinya kurang bersahabat harus belajar membiasakannya tingkatkan terus bareksa,aplikasi ringan aman informasi dalam cukup lengkap sayang saya uinya kurang sahabat harus ajar biasa tingkat terus bareksa,15,Positif
pelayanan customer service bareksa sempurna walaupun terdapat permasalahan saat menggunakan aplikasi bareksa customer service bareksa memberikan solusi tim it sangat responsive sukses terus bareksa milenial mau investasi reksa dana ribet semuanya digital layanan customer service bareksa sangat cocok perlu ragu,layan customer service bareksa sempurna walaupun dapat masalah saat guna aplikasi bareksa customer service bareksa beri solusi tim it sangat responsive sukses terus bareksa milenial mau investasi reksa dana ribet semua digital layan customer service bareksa sangat cocok perlu ragu,18,Positif
aplikasinya bagus sekedar saran metode pembayaran ditambah kalau pakai qrish bisa menerima pembayaran berbagai ewallet jadi perlu menambah jumlah metode ewallet itu silakan pisahkan portofolio sesuai tujuan investasi terima kasih,aplikasi bagus dar saran metode bayar tambah kalau pakai qrish bisa terima bayar bagai ewallet jadi perlu tambah jumlah metode ewallet itu sila pisah portofolio sesuai tuju investasi terima kasih,9,Positif
verifikasi ktp foto selfie kamera berfungsi misalnya aplikasinya berfungsi menambahkan fitur galeri bisa langsung mengambil foto galeri keluar aplikasi mulai mengisinya awal jika dilanjutkan kamera tetap tidak berfungsi malah gambar gelap,verifikasi ktp foto selfie kamera fungsi misal aplikasi fungsi tambah fitur galeri bisa langsung ambil foto galeri keluar aplikasi mulai isi awal jika lanjut kamera tetap tidak fungsi malah gambar gelap,-4,Negatif
kalau ada fitur roboauto saving aplikasi sebelah setahun pakai semakin bagus tambah fitur tingkatkan user interfacenya jadi lebih ramah pemulapilihan lengkap,kalau ada fitur roboauto saving aplikasi belah tahun pakai makin bagus tambah fitur tingkat user interfacenya jadi lebih ramah pemulapilihan lengkap,10,Positif
bulan menggunakan bareksa tidak mengalami kendala berarti aplikasi bagus mudah digunakan jual beli mudah waktu dibutuhkan sesuai dijanjikan saya sudah email customer service responnya cepat lebih bersemangat berinvestasi terima kasih bareksa,bulan guna bareksa tidak alami kendala arti aplikasi bagus mudah guna jual beli mudah waktu butuh sesuai janji saya sudah email customer service responnya cepat lebih semangat investasi terima kasih bareksa,3,Positif
catatan masalah peralihan pengelompokan tujuan investasi percepat proses perpindahan memungkinkan segera minimal menit buat fitur mengelompokkan tujuan investasi beserta total target notifikasi barometer dalamnya terima kasih,catat masalah alih kelompok tuju investasi cepat proses pindah mungkin segera minimal menit buat fitur kelompok tuju investasi serta total target notifikasi barometer dalam terima kasih,4,Positif
dapat membuat akun baru versi aplikasi terbaru sudah memasukkan nomor id nomor ponsel muncul tombol selanjutnya kalau lewat website langkah terakhir nomor rekening terus loading tidak lanjut langkah berikutnya,dapat buat akun baru versi aplikasi baru sudah masuk nomor id nomor ponsel muncul tombol lanjut kalau lewat website langkah akhir nomor rekening terus loading tidak lanjut langkah ikut,4,Positif
pencairannya cepat aplikasinya ringan update beritanya cepat,cair cepat aplikasi ringan update berita cepat,-1,Negatif
tampilan aplikasi semakin bagus terdapat fitur filter sortir bandingkan memudahkan pencarian pemilihan produk reksa dana sekarang ada mekanisme pembayaran melalui ovo terverifikasi otomatis pembelian lebih mudah,tampil aplikasi makin bagus dapat fitur filter sortir banding mudah cari pilih produk reksa dana sekarang ada mekanisme bayar lalu ovo verifikasi otomatis beli lebih mudah,33,Positif
coba coba jadi tahu cara reviewnya baik soalnya masih eksplorasi,coba coba jadi tahu cara reviewnya baik soal masih eksplorasi,10,Positif
segi pengelolaannya bagus ribet datanya sederhana segi transaksi cukup lama prosesnya dari masuk portofolio jual reksa dana saran kalau dipercepat transaksinya terima kasih,segi kelola bagus ribet data sederhana segi transaksi cukup lama proses dari masuk portofolio jual reksa dana saran kalau cepat transaksi terima kasih,7,Positif
bareksa sangat bagus segala namun saran kurang kalau misalnya ada share lengkap bagus,bareksa sangat bagus segala namun saran kurang kalau misal ada share lengkap bagus,11,Positif
coba pertama kali transaksi bareksa jual beli cepat lancar bareksa hebat,coba pertama kali transaksi bareksa jual beli cepat lancar bareksa hebat,13,Positif
perlu diperbaiki aplikasi dijalankan terlalu berat saat instalasi juga saat pembelian saham reksa dana metode ewallet terlalu singkat waktunya mohon kedepannya diperbaiki jika memungkinkan tambahkan menu dokumen top up dana saya mungkin saja bahan pertimbangan kedepannya tim bareksa saran atas untuk menyempurnakan aplikasi,perlu baik aplikasi jalan terlalu berat saat instalasi juga saat beli saham reksa dana metode ewallet terlalu singkat waktu mohon depan baik jika mungkin tambah menu dokumen top up dana saya mungkin saja bahan timbang depan tim bareksa saran atas untuk sempurna aplikasi,-6,Negatif
produknya bisa jual gimana handlingnya lambat banget serius pas mau jual produknya error terus aplikasi palsu hatihati gan,produk bisa jual gimana handlingnya lambat banget serius pas mau jual produk error terus aplikasi palsu hatihati gan,-5,Negatif
aplikasinya bagus lebih baik ada metode tabungan biasa mungkin bekerja sama bank ternama rdn autodebit sebelum menabung rutin bareksa juga menggunakan aplikasi ramah lingkungan lainnya,aplikasi bagus lebih baik ada metode tabung biasa mungkin kerja sama bank nama rdn autodebit belum tabung rutin bareksa juga guna aplikasi ramah lingkung lain,8,Positif
hebat masa depan menjadi lebih baik lebih baik,hebat masa depan jadi lebih baik lebih baik,9,Positif
produk investasi lengkap silahkan tambahkan metode pembayaran gopay,produk investasi lengkap silah tambah metode bayar gopay,7,Positif
proses penjualan reksa dana memakan waktu sangat lama sudah lebih seminggu ada akun hadeh kecewa,proses jual reksa dana makan waktu sangat lama sudah lebih minggu ada akun hadeh kecewa,2,Positif
kalau update play store aplikasinya bisa dibuka errornya kerlip di update berjalan lancar artinya tidak langsung memaksa untuk segera mengupdate aplikasinya jempol trik bareksa,kalau update play store aplikasi bisa buka errornya kerlip di update jalan lancar arti tidak langsung paksa untuk segera mengupdate aplikasi jempol trik bareksa,-1,Negatif
aplikasinya cukup bagus mudah dipahami antarmukanya bagus saran sebaiknya diperluas metode pembayarannya aplikasi dompet digital lainnya kemudian virtual account minimarket memudahkan konsumen melakukan transaksi itu pilihan reksa dana indeks juga lebih banyak indeks jii issi,aplikasi cukup bagus mudah paham antarmuka bagus saran baik luas metode bayar aplikasi dompet digital lain kemudian virtual account minimarket mudah konsumen laku transaksi itu pilih reksa dana indeks juga lebih banyak indeks jii issi,19,Positif
sedikit masukan mengenai sensitivitas aplikasi terlalu tinggi sengaja bergeser sedikit kanan kiri langsung berpindah tampilan melihat menu tampilan pasar reksa dana misalnya pasar saham kurang hatihati langsung ke menu pasar lainnya jika anda tetap ingin melihat harga reksa dana pasar saham bagian bawah lebih baik beralih ke menu pasar lainnya harap kurangi sedikit sensitivitasnya tidak terlalu mudah berpindah menu,sedikit masuk kena sensitivitas aplikasi terlalu tinggi sengaja geser sedikit kanan kiri langsung pindah tampil lihat menu tampil pasar reksa dana misal pasar saham kurang hatihati langsung ke menu pasar lain jika anda tetap ingin lihat harga reksa dana pasar saham bagi bawah lebih baik alih ke menu pasar lain harap kurang sedikit sensitivitas tidak terlalu mudah pindah menu,7,Positif
lebih baik menyelesaikan masalah email dalam hari live chat aplikasi hampir seminggu ada solusi semoga pelayanan penggunanya lebih ditingkatkan,lebih baik selesai masalah email dalam hari live chat aplikasi hampir minggu ada solusi moga layan guna lebih tingkat,13,Positif
menggunakan aplikasi selama kurang lebih tahun sangat mengapresiasi aplikasi terutama pembaruan fitur kerja sama platform ovo pengurangan minimal investasi menjadi ribu sejujurnya sangat membantu sebagai mahasiswa mungkin masalahnya lebih akun sering logout sendiri padahal menggunakan samsung password akan login otomatis sidik jari masih sedikit mengganggu,guna aplikasi lama kurang lebih tahun sangat apresiasi aplikasi utama baru fitur kerja sama platform ovo kurang minimal investasi jadi ribu jujur sangat bantu bagai mahasiswa mungkin masalah lebih akun sering logout sendiri padahal guna samsung password akan login otomatis sidik jari masih sedikit ganggu,-21,Negatif
verifikasi nomor rekening bertele tele menarik dana diminta melengkapi data gagal customer service tidak menjawab apa saya tanyakan konyol,verifikasi nomor rekening tele tele tarik dana minta lengkap data gagal customer service tidak jawab apa saya tanya konyol,-16,Negatif
kecewa mendapat email bareksa menyatakan terpilih memenangkan lotre emas senang sekali kemudian beberapa hari kemudian mendapat email yang mengatakan email salah dikirim bt mf sini kecewa bareksa,kecewa dapat email bareksa nyata pilih menang lotre emas senang sekali kemudian beberapa hari kemudian dapat email yang kata email salah kirim bt mf sini kecewa bareksa,-18,Negatif
sangat membantu pemula saya fiturnya banyak mudah dipelajari,sangat bantu mula saya fiturnya banyak mudah ajar,8,Positif
maaf mbak cukup kecewa pencairan reksa dana tadi pencairannya maksimal hari kerja sekarang hari kerja minggu lama banget min semoga ditingkatkanditambahkan sumber dayanya pencairannya lebih cepat,maaf mbak cukup kecewa cair reksa dana tadi cair maksimal hari kerja sekarang hari kerja minggu lama banget min moga ditingkatkanditambahkan sumber daya cair lebih cepat,2,Positif
hmm pertama kalinya mencobanya melakukan bersenangsenang hanya untuk uang jajan tambahan mudah return bareksa tetap lancar,hmm pertama kali coba laku bersenangsenang hanya untuk uang jajan tambah mudah return bareksa tetap lancar,9,Positif
jangan suruh ngomong masalah email sudah email tidak balasan benar benar diawasi ojk sepertinya banyak yang perlu dilakukan tersebut membuat pengguna berpikiran negatif bareksa pelayanan pengerjaannya pantas mendapat bintang masih menunggu melihat aplikasi ini benar salah,jangan suruh ngomong masalah email sudah email tidak balas benar benar awas ojk seperti banyak yang perlu laku sebut buat guna pikir negatif bareksa layan kerja pantas dapat bintang masih tunggu lihat aplikasi ini benar salah,-1,Negatif
mahal kalau minimal investasinya ribu coba aplikasi sebelah ribu sangat ramah kantor orang kelas menengah saya,mahal kalau minimal investasi ribu coba aplikasi belah ribu sangat ramah kantor orang kelas tengah saya,-7,Negatif
proses registrasinya ribet memakan waktu lama padahal ektpnya sama nama pemilik akun itu terus gagal,proses registrasi ribet makan waktu lama padahal ektpnya sama nama milik akun itu terus gagal,-15,Negatif
bareksa bagus saya mohon bantuannya ada wallet aplikasi crypto itu,bareksa bagus saya mohon bantu ada wallet aplikasi crypto itu,2,Positif
inilah sebabnya diminta membuat pin memasukkan pin pin sama dikatakan error memulai transaksi pin ini tidak masuk akun,ini sebab minta buat pin masuk pin pin sama kata error mulai transaksi pin ini tidak masuk akun,-3,Negatif
bagus kalau diupdate fitur split portfolio,bagus kalau diupdate fitur split portfolio,0,Positif
proses pencairannya lama keuntungannya naik turun kalau pakai mulukmuluk entahlah kalau lain dulu perasaannya naik turun pernah turun sekarang naik turunnya tidak jelas,proses cair lama untung naik turun kalau pakai mulukmuluk entah kalau lain dulu asa naik turun pernah turun sekarang naik turun tidak jelas,-8,Negatif
referensi aplikasi bagus sejauh tidak kendala top up penarikan,referensi aplikasi bagus jauh tidak kendala top up tari,-9,Negatif
transaksi pemesanan pembayaran sangat mudah cepat,transaksi mesan bayar sangat mudah cepat,15,Positif
tambahkan menu fr bond tidak ketinggalan aplikasi berikutnya,tambah menu fr bond tidak tinggal aplikasi ikut,-8,Negatif
aplikasi dapat dibuka stuck splash screen tidak masuk menu utama diinstall ulang sama aplikasi telah mendapat pembaruan terakhirnya silakan periksa bugnya terima kasih sebelumnya tim bareksa,aplikasi dapat buka stuck splash screen tidak masuk menu utama diinstall ulang sama aplikasi telah dapat baru akhir sila periksa bugnya terima kasih belum tim bareksa,-18,Negatif
tujuan bareksa fitur tabungan emas setelah mendaftar fitur emas tiba tiba hilang menumenunya tidak apakah memang hilang permanen akun saja tidak bareksa tidak belum mempunyai fitur chat langsung customer service aplikasi tetangga ada hanya email customer service telepon kantor faq semoga kedepannya ditambah fitur chat langsung dengan customer service sangat memudahkan pemula masih bingung terima kasih,tuju bareksa fitur tabung emas telah daftar fitur emas tiba tiba hilang menumenunya tidak apakah memang hilang permanen akun saja tidak bareksa tidak belum punya fitur chat langsung customer service aplikasi tetangga ada hanya email customer service telepon kantor faq moga depan tambah fitur chat langsung dengan customer service sangat mudah mula masih bingung terima kasih,4,Positif
aplikasi kurang paham susah ribet datanya sendiri bisa diubah susah di edit jika data dokumen kurang jelas pudar mungkin pemula paham caranya untuk menghapus instalan aplikasi mohon verifikasi jangan kasih batasan waktu hari kirimkan kan emailnya kurang paham fiturnya kurang paham beda aplikasi prosesnya mudah,aplikasi kurang paham susah ribet data sendiri bisa ubah susah di edit jika data dokumen kurang jelas pudar mungkin mula paham cara untuk hapus instalan aplikasi mohon verifikasi jangan kasih batas waktu hari kirim kan email kurang paham fiturnya kurang paham beda aplikasi proses mudah,-47,Negatif
bareksa adalah aplikasi terbaiktapi sekarang sudah tarik semua uangnya aplikasi sudah hapus portal investasi lengkap fitur ditampilkan belum lengkap setiap transaksi penambahan dana dikenakan biaya,bareksa adalah aplikasi terbaiktapi sekarang sudah tarik semua uang aplikasi sudah hapus portal investasi lengkap fitur tampil belum lengkap tiap transaksi tambah dana kena biaya,6,Positif
akunnya sampai logout sendiri soalnya lupa password direset susah sekali website responsive buggy tampilan ganti password semacamnya muncul tidak diubah dibanding aplikasi selanjutnya responsif malah merugikan kalau investasi uang pasti susah untuk melakukan penarikan,akun sampai logout sendiri soal lupa password direset susah sekali website responsive buggy tampil ganti password macam muncul tidak ubah banding aplikasi lanjut responsif malah rugi kalau investasi uang pasti susah untuk laku tari,-14,Negatif
